Vehicle_id,driver_id, vehicle_registration_number,make,model,body_style,year_registered,colour,insurance_expiry _date
316,316,QN23 HPX,VOLKSWAGEN,Polo,5 door hatchback,2023,white,2025/04/29
317,317,FC24 LIR,VAUXHALL,Astra,5 door hatchback,2024,white,2024/11/23
318,318,RI18 CBP,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2018,red,2024/07/22
319,319,KL22 KDF,FORD,focus,5 door hatchback,2022,black,2024/11/19
320,320,IX18 EYR,VAUXHALL,Astra,5 door hatchback,2018,brown,2024/09/24
321,321,DJ18 TFA,VOLKSWAGEN,Polo,5 door hatchback,2018,brown,2025/03/30
322,322,SB24 STD,VAUXHALL,Astra,5 door hatchback,2024,red,2025/03/30
323,323,QF18 RNF,VAUXHALL,Astra,5 door hatchback,2018,blue,2025/05/11
324,324,NJ22 UMA,FORD,focus,5 door hatchback,2022,black,2024/09/07
325,325,WO21 JPE,FORD,focus,5 door hatchback,2021,brown,2024/09/29
326,326,TB24 TSD,VAUXHALL,Astra,5 door hatchback,2024,brown,2025/02/25
327,327,GB17 MVW,VOLKSWAGEN,Jetta,4 door + boot,2017,silver,2025/04/29
328,328,UC18 GGY,FORD,Tourneo Courier,Multi Purpose Vehicle,2018,yellow,2024/11/11
329,329,GD19 RZT,VAUXHALL,Astra,5 door hatchback,2019,white,2024/08/29
330,330,KT22 LYA,FORD,focus,5 door hatchback,2022,black,2025/01/04
331,331,ST24 DSP,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2024,blue,2024/12/14
332,332,BY22 VAE,TOYOTA,Corolla,5 door hatchback,2022,brown,2024/12/25
333,333,OV21 QWB,VOLKSWAGEN,Polo,5 door hatchback,2021,black,2025/05/01
334,334,GN18 FXU,VOLKSWAGEN,Passat,5 door Estate,2018,silver,2025/02/25
335,335,OT19 EDO,FORD,Mondeo,4 door + boot,2019,yellow,2024/09/28
336,336,OM19 PNP,BMW,X2,5 door Estate,2019,blue,2025/02/09
337,337,EV21 YAP,VAUXHALL,Astra,5 door hatchback,2021,blue,2025/01/19
338,338,PL18 MZV,FORD,focus,5 door hatchback,2018,white,2025/04/27
339,339,BA16 ICP,FORD,focus,5 door hatchback,2016,blue,2024/12/07
340,340,JA19 TNG,FORD,focus,5 door hatchback,2019,black,2025/03/12
341,341,IZ22 RBF,VOLKSWAGEN,Polo,5 door hatchback,2022,white,2025/01/31
342,342,PI18 JYV,FORD,focus,5 door hatchback,2018,red,2024/09/25
343,343,XS24 VIB,BMW,X1,5 door Estate,2024,red,2024/12/09
344,344,XX21 EIG,VAUXHALL,Astra,5 door hatchback,2021,white,2025/02/24
345,345,AG24 YYC,BMW,Series 3,4 door + boot,2024,silver,2025/01/17
346,346,VT20 JFM,VAUXHALL,Mokka,Multi Purpose Vehicle,2020,silver,2024/07/24
347,347,EO21 KQE,VOLKSWAGEN,Polo,5 door hatchback,2021,red,2024/06/21
348,348,QB23 HVX,TOYOTA,City Verso,Multi Purpose Vehicle,2023,black,2024/06/19
349,349,YP17 IFK,VAUXHALL,Mokka,Multi Purpose Vehicle,2017,silver,2024/11/03
350,350,QW24 JMA,FORD,focus,5 door hatchback,2024,blue,2025/04/05
351,351,RP19 NHJ,VOLKSWAGEN,Polo,5 door hatchback,2019,blue,2025/04/09
352,352,GR19 APO,FORD,focus,5 door hatchback,2019,yellow,2024/11/24
353,353,FI16 TIE,VAUXHALL,Astra,5 door hatchback,2016,silver,2024/12/12
354,354,SY21 LIG,BMW,Series 3,4 door + boot,2021,silver,2024/11/30
355,355,FQ21 XFH,FORD,Tourneo Courier,Multi Purpose Vehicle,2021,red,2024/08/02
356,356,LT20 PQW,BMW,series 4,5 door hatchback,2020,white,2025/04/14
357,357,ST19 WEX,VOLKSWAGEN,Polo,5 door hatchback,2019,black,2024/12/12
358,358,JV22 MHP,FORD,focus,5 door hatchback,2022,black,2024/07/16
359,359,TU16 BHW,BMW,Series 3,4 door + boot,2016,red,2025/05/02
360,360,FK23 JDU,VOLKSWAGEN,Passat,5 door Estate,2023,white,2025/05/02
361,361,SA24 DRN,VOLKSWAGEN,Passat,5 door Estate,2024,silver,2025/02/11
362,362,GO22 CEP,BMW,Series 3,4 door + boot,2022,silver,2025/01/29
363,363,AR17 WGE,VAUXHALL,Astra,5 door hatchback,2017,white,2025/02/01
364,364,AG20 TJS,VAUXHALL,Astra,5 door hatchback,2020,brown,2024/12/08
365,365,UG17 BNK,VAUXHALL,Astra,5 door hatchback,2017,white,2024/08/06
366,366,OF23 CLN,VOLKSWAGEN,Polo,5 door hatchback,2023,blue,2025/05/05
367,367,LN18 LTL,VOLKSWAGEN,Jetta,4 door + boot,2018,white,2025/04/14
368,368,BY22 KLM,VOLKSWAGEN,Polo,5 door hatchback,2022,brown,2024/06/14
369,369,IS21 CFC,VOLKSWAGEN,Tiguan,Multi Purpose Vehicle,2021,black,2025/04/06
370,370,TS17 IFH,TOYOTA,Urban Cruiser,5 door Estate,2017,brown,2025/05/14
371,371,WH19 SDV,VAUXHALL,Astra,5 door hatchback,2019,white,2024/07/13
372,372,XW16 VBK,VAUXHALL,Astra,5 door hatchback,2016,red,2024/10/31
373,373,MJ16 ING,VOLKSWAGEN,Passat,5 door Estate,2016,black,2024/08/22
374,374,LD19 DTZ,FORD,focus,5 door hatchback,2019,yellow,2024/08/27
375,375,MM17 DFK,VAUXHALL,Astra,5 door hatchback,2017,black,2025/05/06
376,376,LQ18 ANA,VAUXHALL,Astra,5 door hatchback,2018,brown,2024/06/30
377,377,RJ24 UCQ,FORD,Tourneo Courier,Multi Purpose Vehicle,2024,silver,2024/08/28
378,378,FT18 BJJ,FORD,focus,5 door hatchback,2018,white,2024/11/13
379,379,CQ23 EHW,FORD,focus,5 door hatchback,2023,red,2024/12/20
380,380,KB17 LGA,VOLKSWAGEN,Polo,5 door hatchback,2017,black,2024/11/19
381,381,XX17 BBO,BMW,Series 3,4 door + boot,2017,red,2024/06/01
382,382,OJ21 EBY,FORD,focus,5 door hatchback,2021,silver,2024/11/05
383,383,AV23 WCT,VOLKSWAGEN,Polo,5 door hatchback,2023,blue,2025/02/20
384,384,BQ16 DIM,VOLKSWAGEN,Passat,5 door Estate,2016,white,2025/05/07
385,385,ZA21 CGU,VAUXHALL,Astra,5 door hatchback,2021,black,2025/01/27
386,386,LK20 SLA,FORD,focus,5 door hatchback,2020,white,2025/03/16
387,387,HB19 WPH,VOLKSWAGEN,Polo,5 door hatchback,2019,red,2025/05/14
388,388,TA23 FMA,VOLKSWAGEN,Polo,5 door hatchback,2023,black,2025/03/20
389,389,KN24 QFY,TOYOTA,Corolla,5 door hatchback,2024,yellow,2024/07/13
390,390,LL22 UZD,VAUXHALL,Astra,5 door hatchback,2022,yellow,2024/06/24
391,391,PM18 JME,FORD,focus,5 door hatchback,2018,black,2025/05/08
392,392,DE16 PFR,VAUXHALL,Astra,5 door hatchback,2016,white,2024/06/05
393,393,HH22 UFM,FORD,focus,5 door hatchback,2022,brown,2024/08/18
394,394,KD21 EMQ,VOLKSWAGEN,Polo,5 door hatchback,2021,white,2024/12/03
395,395,DX20 OXB,FORD,focus,5 door hatchback,2020,white,2025/04/21
396,396,AC20 ZQS,VAUXHALL,Astra,5 door hatchback,2020,black,2024/10/19
397,397,ZN22 BSF,VAUXHALL,Astra,5 door hatchback,2022,red,2024/12/05
398,398,AB24 LRS,VOLKSWAGEN,Polo,5 door hatchback,2024,black,2024/11/24
399,399,GC18 MKX,TOYOTA,Corolla,5 door hatchback,2018,red,2024/12/23
400,400,CP19 STX,VOLKSWAGEN,Passat,5 door Estate,2019,yellow,2024/06/18
